currency,scenario,option_tenor,swap_tenor,market_price,model_price
USD,flatten,6.0,5.0,0.0028941041676284634,0.0031110923780712733
USD,flatten,5.0,6.0,0.00325663313827316,0.0034275251289202758
USD,flatten,4.0,7.0,0.0035426062127664666,0.0034300554659360697
USD,flatten,3.0,8.0,0.0036728632575723026,0.003549573858008229
USD,flatten,2.0,9.0,0.0034600439292606484,0.00346004391037409
USD,flatten,1.0,10.0,0.0029243791094584874,0.002618653635383046
USD,short_up,10.0,1.0,0.00045858515162505275,0.0006040309823679816
USD,short_up,9.0,2.0,0.0009776991353091307,0.0011528669929524186
USD,short_up,8.0,3.0,0.001441975360285202,0.0015502516513199436
USD,short_up,7.0,4.0,0.0018697937881006004,0.001869788400290677
USD,short_up,6.0,5.0,0.002309381931632396,0.0021303815471244523
USD,short_up,5.0,6.0,0.00263625943253529,0.0023419201357214644
USD,short_up,4.0,7.0,0.002847906268960156,0.002847907474573432
USD,short_up,3.0,8.0,0.002973303631600821,0.002962134904340128
USD,short_up,2.0,9.0,0.002873180477477473,0.002958552333845797
USD,short_up,1.0,10.0,0.0025117914113614347,0.0031786769249129813
USD,short_down,10.0,1.0,0.00045933886387104837,0.0009999245902417963
USD,short_down,9.0,2.0,0.0011147668498121886,0.0016236959687718914
USD,short_down,8.0,3.0,0.0017156551487655923,0.0021202116989871337
USD,short_down,7.0,4.0,0.002228207516022647,0.0024966303000776035
USD,short_down,6.0,5.0,0.0027122522536730323,0.0027911791517173535
USD,short_down,5.0,6.0,0.003025079030864422,0.0030250790370695635
USD,short_down,4.0,7.0,0.0032775127516518074,0.0029147193550503655
USD,short_down,3.0,8.0,0.0033732142338960933,0.0030066336498152588
USD,short_down,2.0,9.0,0.003140607214969363,0.0029401928429809297
USD,short_down,1.0,10.0,0.002617552165660787,0.00216676064996188
USD,vol_shift,10.0,1.0,0.0005119290502816052,0.0007223899731381131
USD,vol_shift,9.0,2.0,0.001165772154925186,0.001363523361153735
USD,vol_shift,8.0,3.0,0.0017595723708777925,0.0019419941667539837
USD,vol_shift,7.0,4.0,0.002284749118526579,0.002450340452471651
USD,vol_shift,6.0,5.0,0.002793774114630724,0.002882166350498223
USD,vol_shift,5.0,6.0,0.0031511528759027964,0.0032240723818739094
USD,vol_shift,4.0,7.0,0.0034068417755013574,0.0034068417549581046
USD,vol_shift,3.0,8.0,0.003523788168726153,0.0034714225551755943
USD,vol_shift,2.0,9.0,0.003338685337050396,0.0032925014190261156
USD,vol_shift,1.0,10.0,0.002833038660403236,0.002616025238212514
EUR,base,10.0,1.0,0.00018226959761808063,0.0002483240202279852
EUR,base,9.0,2.0,0.0004120518374514923,0.0004695634002081556
EUR,base,8.0,3.0,0.0006169535551317912,0.0006679515513120543
EUR,base,7.0,4.0,0.0007590809055791471,0.0008400016475624006
EUR,base,6.0,5.0,0.0009529889075521299,0.0009826216342091274
EUR,base,5.0,6.0,0.001036356225143866,0.0010907372513118564
EUR,base,4.0,7.0,0.0011600117115669324,0.0011421904118360199
EUR,base,3.0,8.0,0.0011494126045519474,0.001149412478897445
EUR,base,2.0,9.0,0.0011699303538314772,0.0010742760275311224
EUR,base,1.0,10.0,0.00102889607788172,0.0008398666326981438
EUR,up,10.0,1.0,0.00024712306895155337,0.00033468714553341964
EUR,up,9.0,2.0,0.0005637901839727421,0.0006381455450127787
EUR,up,8.0,3.0,0.0008526259429173953,0.0009139497590518988
EUR,up,7.0,4.0,0.00106007174310513,0.0011589786492731053
